sightingID,city,state,country,durationSec,ufoShape
1,"san marcos",tx,USA,2700,cylinder
2,"lackland afb",tx,USA,7200,light
3,"chester (uk/england)",n/a,UK,20,circle
4,edna,tx,USA,20,circle
5,kaneohe,hi,USA,900,light
6,bristol,tn,USA,300,sphere
7,"penarth (uk/wales)",n/a,UK,180,circle
8,norwalk,ct,USA,1200,disk
9,"pell city",al,USA,180,disk
10,"live oak",fl,USA,120,disk
11,hawthorne,ca,USA,300,circle
12,brevard,nc,USA,180,fireball
13,bellmore,ny,USA,1800,disk
14,manchester,ky,USA,180,unknown
15,lexington,nc,USA,30,oval
16,"harlan county",ky,USA,1200,circle
17,"west bloomfield",mi,USA,120,disk
18,niantic,ct,USA,1800,disk
19,"bermuda nas",n/a,Other,20,light
20,hudson,ma,USA,2700,other
21,"cardiff (uk/wales)",n/a,UK,1200,disk
22,hudson,ks,USA,1200,light
23,"north charleston",sc,USA,360,light
24,washougal,wa,USA,60,oval
25,"stoke mandeville (uk/england)",n/a,UK,3,cigar
26,"san antonio",tx,USA,30,other
27,louisville,ky,USA,30,light
28,elmont,ny,USA,300,rectangle
29,poughkeepsie,ny,USA,900,chevron
30,"saddle lake (canada)",Alberta,Canada,270,triangle
31,"san diego",ca,USA,180,oval
32,security,co,USA,1800,unknown
33,houston,tx,USA,180,sphere
34,dallas,tx,USA,300,unknown
35,manchester,nh,USA,300,light
36,"gisborne (new zealand)",n/a,Other,120,disk
37,houston,tx,USA,60,circle
38,"traverse city",mi,USA,120,other
39,"white plains",ny,USA,20,formation
40,"leeds (uk/england)",n/a,UK,600,triangle
41,holmes/pawling,ny,USA,180,chevron
42,milwaukee,wi,USA,600,triangle
43,"new gloucester",me,USA,120,unknown
44,boulder,co,USA,60,light
45,"seattle (ballard area)",wa,USA,2,unknown
46,calabasas,ca,USA,300,disk
47,centralia,wa,USA,60,triangle
48,kranklin,ky,USA,180,triangle
49,ashburn,ga,USA,120,triangle
50,frisco,nc,USA,1800,unknown
51,harrisburg,pa,USA,600,triangle
52,"panama city",fl,USA,3600,formation
53,stafford,tx,USA,10,unknown
54,seymour,tn,USA,60,cigar
55,weatherford,tx,USA,30,unknown
56,"zlatoust (russia)",n/a,Other,1200,sphere
57,peoria,il,USA,8,light
58,carthage,tn,USA,60,other
59,mercedies,tx,USA,3600,cigar
60,"burnt hills",ny,USA,120,rectangle
61,pinebergen,ar,USA,5,light
62,"toronto (greater toronto area) (canada)",Ontario,Canada,3600,sphere
63,milwaukee,wi,USA,120,unknown
64,oakland,ca,USA,60,unknown
65,higginsville,mo,USA,3,triangle
66,"lake macquarie (nsw&#44 australia)",n/a,Australia,300,light
67,charleston,sc,USA,300,light
