sightingID,city,state,country,durationSec,ufoShape
1,"san marcos",tx,us,2700,cylinder
2,"lackland afb",tx,us,7200,light
4,edna,tx,us,20,circle
5,kaneohe,hi,us,900,light
6,bristol,tn,us,300,sphere
8,norwalk,ct,us,1200,disk
9,"pell city",al,us,180,disk
10,"live oak",fl,us,120,disk
11,hawthorne,ca,us,300,circle
12,brevard,nc,us,180,fireball
13,bellmore,ny,us,1800,disk
14,manchester,ky,us,180,unknown
15,lexington,nc,us,30,oval
16,"harlan county",ky,us,1200,circle
17,"west bloomfield",mi,us,120,disk
18,niantic,ct,us,1800,disk
20,hudson,ma,us,2700,other
22,hudson,ks,us,1200,light
23,"north charleston",sc,us,360,light
24,washougal,wa,us,60,oval
26,"san antonio",tx,us,30,other
27,louisville,ky,us,30,light
28,elmont,ny,us,300,rectangle
29,poughkeepsie,ny,us,900,chevron
30,"saddle lake (canada)",ab,ca,270,triangle
31,"san diego",ca,us,180,oval
32,security,co,us,1800,unknown
33,houston,tx,us,180,sphere
34,dallas,tx,us,300,unknown
35,manchester,nh,us,300,light
37,houston,tx,us,60,circle
38,"traverse city",mi,us,120,other
39,"white plains",ny,us,20,formation
41,holmes/pawling,ny,us,180,chevron
42,milwaukee,wi,us,600,triangle
43,"new gloucester",me,us,120,unknown
44,boulder,co,us,60,light
45,"seattle (ballard area)",wa,us,2,unknown
46,calabasas,ca,us,300,disk
47,centralia,wa,us,60,triangle
48,kranklin,ky,us,180,triangle
49,ashburn,ga,us,120,triangle
50,frisco,nc,us,1800,unknown
51,harrisburg,pa,us,600,triangle
52,"panama city",fl,us,3600,formation
53,stafford,tx,us,10,unknown
54,seymour,tn,us,60,cigar
55,weatherford,tx,us,30,unknown
57,peoria,il,us,8,light
58,carthage,tn,us,60,other
59,mercedies,tx,us,3600,cigar
60,"burnt hills",ny,us,120,rectangle
61,pinebergen,ar,us,5,light
62,"toronto (greater toronto area) (canada)",on,ca,3600,sphere
63,milwaukee,wi,us,120,unknown
64,oakland,ca,us,60,unknown
65,higginsville,mo,us,3,triangle
67,charleston,sc,us,300,light
68,"monroe county",oh,us,60,cylinder
69,connersville,in,us,14400,delta
70,mesa,az,us,30,sphere
71,bonaire,ga,us,300,triangle
72,austin,mn,us,3600,other
73,hollywood,ca,us,300,changing
74,"phoenix (north part)",az,us,15,fireball
